Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.5-192.168.50.1-787-521-17,172.16.0.5,787,192.168.50.1,521,17,01/12/2018 09:43:52 a.m.,34202,165,1,72600.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,440.0,0.0,2135547.6287936377,4853.5173381673585,207.28484848484834,1858.9428112999244,23683.0,0.0,34201.0,208.54268292682934,1864.5659385688896,23683.0,0.0,0,0,0,0,0,0,0,0,0,1320,8,4824.279281913338,29.23805625402023,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.65060240963857,440.0,440.0,0,0,0,0,0,0,165,72600,1,440,-1,-1,165,0,0,0,0,0,0,0,0,0,No Label
172.16.0.5-192.168.50.1-954-6436-17,172.16.0.5,954,192.168.50.1,6436,17,01/12/2018 09:43:53 a.m.,2111,133,1,58232.0,440.0,440.0,296.0,437.83458646616543,17.59139788540248,440.0,440.0,440.0,0.0,2.7793462813832305E7,63477.02510658456,15.872180451127827,40.81692562135605,300.0,0.0,2110.0,15.984848484848484,40.951653649371586,300.0,0.0,0,0,0,0,0,0,0,0,0,1064,8,63003.3159639981,473.7091425864519,296.0,440.0,437.8666666666667,17.46159966001303,304.90746268656716,0,0,0,0,0,0,0,0,0.0,441.13432835820896,437.83458646616543,440.0,0,0,0,0,0,0,133,58232,1,440,-1,-1,133,0,0,0,0,0,0,0,0,0,No Label
172.16.0.5-192.168.50.1-771-45854-17,172.16.0.5,771,192.168.50.1,45854,17,01/12/2018 09:43:52 a.m.,27227,161,1,70840.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,440.0,0.0,2617989.495721159,5949.976126638998,169.1118012422361,1085.5323923874225,10780.0,0.0,27226.0,170.1625,1088.8585384814226,10780.0,0.0,0,0,0,0,0,0,0,0,0,1288,8,5913.2478789436955,36.72824769530246,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.71604938271605,440.0,440.0,0,0,0,0,0,0,161,70840,1,440,-1,-1,161,0,0,0,0,0,0,0,0,0,No Label
172.16.0.5-192.168.50.1-939-32595-17,172.16.0.5,939,192.168.50.1,32595,17,01/12/2018 09:43:52 a.m.,59322,15,1,6600.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,440.0,0.0,118674.35352820202,269.71443983682275,3954.8000000000006,9955.331035609584,30280.0,1.0,59321.0,4237.214285714285,10268.59094654532,30280.0,1.0,0,0,0,0,0,0,0,0,0,120,8,252.85728734702136,16.857152489801422,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,467.5,440.0,440.0,0,0,0,0,0,0,15,6600,1,440,-1,-1,15,0,0,0,0,0,0,0,0,0,No Label
172.16.0.5-192.168.50.1-634-14396-17,172.16.0.5,634,192.168.50.1,14396,17,01/12/2018 09:43:53 a.m.,15869,91,1,40040.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,440.0,0.0,2550885.3739996217,5797.466759090049,174.38461538461542,539.9476470348412,3675.0,0.0,15868.0,176.31111111111107,542.6579953111868,3675.0,0.0,0,0,0,0,0,0,0,0,0,728,8,5734.450816056462,63.01594303358749,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,444.7826086956522,440.0,440.0,0,0,0,0,0,0,91,40040,1,440,-1,-1,91,0,0,0,0,0,0,0,0,0,No Label
172.16.0.5-192.168.50.1-783-38620-17,172.16.0.5,783,192.168.50.1,38620,17,01/12/2018 09:43:53 a.m.,6569,97,1,42680.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,440.0,0.0,6564165.01750647,14918.55685796925,67.72164948453609,97.58924785677394,362.0,0.0,6568.0,68.41666666666667,97.85990702789765,362.0,0.0,0,0,0,0,0,0,0,0,0,776,8,14766.326685949154,152.2301720200944,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,444.48979591836735,440.0,440.0,0,0,0,0,0,0,97,42680,1,440,-1,-1,97,0,0,0,0,0,0,0,0,0,No Label
172.16.0.5-192.168.50.1-742-2962-17,172.16.0.5,742,192.168.50.1,2962,17,01/12/2018 09:43:53 a.m.,1562,47,1,20680.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,440.0,0.0,1.3521126760563381E7,30729.833546734953,33.2340425531915,62.807924162881896,331.0,0.0,1561.0,33.934782608695656,63.31592819571568,331.0,0.0,0,0,0,0,0,0,0,0,0,376,8,30089.628681177976,640.2048655569782,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,449.1666666666667,440.0,440.0,0,0,0,0,0,0,47,20680,1,440,-1,-1,47,0,0,0,0,0,0,0,0,0,No Label
172.16.0.5-192.168.50.1-654-49537-17,172.16.0.5,654,192.168.50.1,49537,17,01/12/2018 09:43:52 a.m.,5020,49,1,21560.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,440.0,0.0,4382470.119521912,9960.1593625498,102.44897959183673,175.79178749594763,808.0,1.0,5019.0,104.56250000000001,177.02180491367048,808.0,1.0,0,0,0,0,0,0,0,0,0,392,8,9760.956175298805,199.20318725099602,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,448.8,440.0,440.0,0,0,0,0,0,0,49,21560,1,440,-1,-1,49,0,0,0,0,0,0,0,0,0,No Label
172.16.0.5-192.168.50.1-944-41433-17,172.16.0.5,944,192.168.50.1,41433,17,01/12/2018 09:43:52 a.m.,1338,47,1,20680.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,440.0,0.0,1.57847533632287E7,35874.439461883405,28.46808510638298,73.43996396460876,412.0,0.0,1337.0,29.06521739130434,74.13603177760102,412.0,0.0,0,0,0,0,0,0,0,0,0,376,8,35127.0553064275,747.3841554559043,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,449.1666666666667,440.0,440.0,0,0,0,0,0,0,47,20680,1,440,-1,-1,47,0,0,0,0,0,0,0,0,0,No Label
172.16.0.5-192.168.50.1-712-18539-17,172.16.0.5,712,192.168.50.1,18539,17,01/12/2018 09:43:53 a.m.,11930,63,1,27720.0,440.0,440.0,440.0,440.0,0.0,440.0,440.0,440.0,0.0,2360435.875943001,5364.626990779548,189.3650793650793,889.9750322990635,6693.0,0.0,11929.0,192.40322580645156,896.9108269303217,6693.0,0.0,0,0,0,0,0,0,0,0,0,504,8,5280.804694048617,83.82229673093043,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,446.875,440.0,440.0,0,0,0,0,0,0,63,27720,1,440,-1,-1,63,0,0,0,0,0,0,0,0,0,No Label
